"STORE_ID","STORE_NAME","BUSINESS_ID","MERCHANT_STORE_ID","TRANSACTIONS_START_LOCAL_DATE","TRANSACTIONS_END_LOCAL_DATE","SUBTOTAL","TAX_SUBTOTAL","COMMISSION","COMMISSION_TAX","DRIVE_CHARGE","MARKETING_FEES","STOREFRONT_TRANSACTION_FEES","STOREFRONT_DELIVERY_FEES","STAFF_TIPS","ERROR_CHARGES","ADJUSTMENTS","TOTAL_BEFORE_ADJUSTMENTS","ESTIMATED_PAYOUT","TAX_REMITTED_BY_DOORDASH_TO_STATE","SUBTOTAL_FOR_TAX","DOORDASH_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT","MERCHANT_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT"
1050761,"Chuck's Chicken & Waffles WeHo + Beverly Hills",288674,"NULL","2021-09-25","2021-09-25",38.85,3.69,11.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.88,30.88,0.00,38.85,0.00,0.00
1050816,"LA Greens Hollywood",362431,"NULL","2021-09-21","2021-09-23",133.90,12.73,37.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.15,109.15,0.00,133.90,0.00,0.00
1050834,"Seaside Burritos and Tacos Hollywood",466228,"NULL","2021-09-22","2021-09-25",14.95,1.42,4.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.15,11.88,17.03,0.00,14.95,0.00,0.00
1050916,"Ma Soul's Chicken & Waffles Hollywood",287055,"NULL","2021-09-23","2021-09-26",172.35,16.38,51.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137.00,137.00,0.00,172.35,0.00,0.00
1052517,"VU : DU Wings Hollywood",468960,"NULL","2021-09-25","2021-09-25",25.90,2.46,7.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.59,20.59,0.00,25.90,0.00,0.00
1052614,"Fisher & Sons Fish & Chips Hollywood",470278,"NULL","2021-09-21","2021-09-25",143.95,13.68,43.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.42,114.42,0.00,143.95,2.05,0.00
1181263,"Nacho Lords WeHo + Beverly Hills",545619,"NULL","2021-09-25","2021-09-25",18.85,1.79,2.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.81,17.81,0.00,18.85,0.00,0.00
1207791,"No Joke PBJ",558892,"NULL","2021-09-21","2021-09-23",95.60,9.08,21.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.02,83.02,0.00,95.60,5.00,0.00
1230160,"Angel Wings Burbank",251575,"NULL","2021-09-20","2021-09-26",410.05,42.01,123.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,329.01,329.01,0.00,410.05,0.00,0.00
1231398,"Angel Pasta Burbank",575775,"NULL","2021-09-21","2021-09-25",257.90,26.41,77.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,206.91,206.91,0.00,257.90,0.00,0.00
1235294,"Burger Bitch Burbank",467990,"NULL","2021-09-21","2021-09-23",129.30,13.25,38.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,103.76,103.76,0.00,129.30,0.00,0.00
1239046,"Cheebo Express Burbank",393555,"NULL","2021-09-21","2021-09-26",839.05,85.96,238.56,0.00,0.00,0.00,0.00,0.00,0.00,5.20,0.00,681.25,681.25,0.00,839.05,31.86,0.00
